BOM ID Number,Total Cost,Part Name,Functional Description
1,$10.58 ,Soldering Iron Kit,"Durable equipment used to heat-set M4 threaded inserts into 3D-printed router-sled jigs, enabling repeatable clamp installation and safe, rapid reconfiguration of fixtures across batches; long-life tool asset that preserves interchangeability. 80W 110V Fast Heat up in 10s LCD Digital Adjustable Temperature Soldering Gun Thermostatic "
2,$19.16 ,Respirator Cartridge/Filter ,"Replaceable respiratory filters that protect the operator from organic vapors, acid gases, and particulates during cutting/laser/finishing; low-cost consumables stocked and rotated to maintain safe, continuous operations. 3M P100 60923, 1 Pair, NIOSH Approved, Helps Protect Against Organic Vapors, Acid Gases, and Particulates, Magenta, Yellow"
3,$34.97 ,Reusable Respirator Half Facepiece,"Reusable PPE that seals to the face and, paired with cartridges, protects lungs during dusty/fume-generating processes; durable equipment with multi-year service supporting sustained production sessions. 3M, 7502, NIOSH, 3M Cool Flow Valve, Dual Airline Supplied Air Compatible, Integrated Dropdown Suspension, Bayonet Connections, For Chemical Handling, Painting, Med"
4,$19.16 ,Respirator Cartridge/Filter ,"Replaceable respiratory filters that protect the operator from organic vapors, acid gases, and particulates during cutting/laser/finishing; low-cost consumables stocked and rotated to maintain safe, continuous operations. 3M P100 60923, 1 Pair, NIOSH Approved, Helps Protect Against Organic Vapors, Acid Gases, and Particulates, Magenta, Yellow"
5,$9.05 , M4 Phillips Pan Head Machine Screws Washers Nuts Assortment Kit,"Fasteners embedded in 3D-printed fixtures to mount clamps and hardware; expendable supplies that enable repeatable workholding and reduce rework from part movement. 390Pcs M4 x 5mm /6mm /8mm /10mm /12mm /16mm /20mm, Metric 304 Stainless Steel Pan Head Fully Machine Thread Screws Bolts"
6,$9.52 ,M4 Heat Set Inserts,"Threaded inserts installed by heat into printed parts to provide durable M4 threads for clamps/fixtures; recurring supplies that keep jigs modular and interchangeable. Metric knurled Nuts Brass Heat Set Insert for Plastic Parts,Insert by Heat into 3D Printing Components (M4xL6xD6). Ktehloy 100Pcs "
7,$12.71 , M2 M2.5 Threaded Inserts for Plastic with Heat Set Tips,"Fine-thread inserts for small printed gauges/fixtures; expendable supplies extending modularity to light tooling and inspection aids. 300 Pcs, M2 & M2.5 Heat Set Inserts Kit,Brass Inserts for 3D Pringting"
8,$10.07 ,Toggle Clamp,"Reusable quick-release clamps that deliver consistent holding force on router-sled workpieces; tooling hardware that improves safety, throughput, and cut quality. POWERTEC 4PK, 60 lbs Holding Capacity, 201 Quick Release Horizontal Clamps w/ Antislip Rubber Pressure Tip for Woodworking Jigs and Fixtures, Welding, Drill Press, Crosscut Sled (20321)"
9,$9.50 ,Rubber Bands,"Stretch bands applied during glue-up to provide uniform pressure on curved faces of spherical forms; low-cost consumables that supplement clamps during cure and are replaced as they wear.  40 Pcs size#105 Big black rubber band large Elastic Band rubber bands office supplies Heavy Duty wide Strong Elastic bands Outdoor (5.12"" x 0.6""). HAIDIBAO-"
10,$6.03 ,Dispensing Needle Tips,"Fine-bore applicators used during alignment-pin bonding to place adhesive precisely in small holes on ribs and keystones; low-cost wear items treated as disposable assembly consumables. PATIKIL 16Ga x 1.5 Inch. 10Pcs Stainless Steel and Plastic Glue Needle Tube Blunt Tips with Luer Lock for Glue Oil Applicator, Gray"
11,$24.16 ,Roundover Router Bit Set,"Edge-forming cutters used to add a controlled radius to ornamental ribs; cutting tools subject to wear and managed as consumable tooling for design detailing. SICWOOD 6pcs,  Round Over Router Bits 1/4 Shank with 6 Bearings 3/8"", Carbide Corner Rounding Edge-Forming Bit, for Round Over Beading, for Rounding Trim..."
12,$179.14 ,Router,"Primary edge-profiling machine enabling consistent radius and decorative cuts on ribs; durable equipment with multi-batch utility that lifts throughput and finish quality. DEWALT, Fixed Base, 1-1/4 HP, 7.7-Amp, Variable Speed Trigger, Corded (DWP611)"
13,$30.73 ,Trapezoid Table Legs,"Structural components to build a stable router table at the required height for the enclosure; durable fixture furniture that improves repeatability and safety. ALXEH 8 Inch, DIY Furniture Metal Legs for Coffee Table, Bench Stool Cabinet Furniture Feet - Set of 2,  Black"
14,$7.26 ,Rubber Bands,"Elastic bands applied during glue-up to deliver uniform pressure across spherical forms; inexpensive consumables replaced routinely as they lose tension.  Size #94 (3 1/2'' x 3/4''), Wide Thick Large Strong Heavy Duty Rubber Bands for Office, Home, School, Industrial, Hunting, Outdoor Camping Survival, 25 Pack"
15,$8.00 ,Rubber Bands ,"Smaller elastic bands for targeted clamping on curved surfaces during glue-up; routine consumables that supplement mechanical clamps. Size #82 (2 1/2'' x 1/2''), 50 Pcs Wide Small Thick Strong Heavy Duty Rubber Bands Heat Cold UV Resistant for Hunting Hiking Camping Survival"
16,$26.49 ,Glass Storage Containers With Lids,"High-temperature vessels used to maintain controlled water baths (?195–200 °F) for conditioning ribs, promoting uniform lignin softening and reducing bend defects; durable process hardware reused across batches. Moss & Stone Extra Large. Set of 3, 101 Oz/ 54 Oz/ 16 Oz, Deep Rectangular Glass Food Container with Lid, Leak Proof, Microwave, Dishwasher & Oven Safe"
17,$63.08 ,"Wood Sheets Thin Lumber,  Walnut ",Direct material stock laser-cut into serialized ribs for subsequent conditioning and shaping; fully consumed into product and tracked in COGS. Black Dark Unfinished Board for Crafts - Pack of 5 by Craftiff
18,$34.95 ,Digital Electronic Level and Angle Gauge,"Setup and verification instrument used to set the disc-sander lever angle so every rib edge matches the required curvature; durable measuring tool that improves interchangeability and reduces rework. Klein Tools 935DAG, Measures 0 - 90 and 0 - 180 Degree Ranges, Measures and Sets Angles "
19,$25.75 ,Strapping Band Coil ,"Banding used to prototype a shaping mechanism that applies uniform pressure around bent forms; consumable fixture material embedded in builds and replaced as concepts evolve. MOUNTAIN_ARK 304 Stainless Steel, 1/2"" x 95' Roll, Packing Tensioner Strap"
20,$30.73 ,Wire Rope Equipped with Crimping Pliers,"Stainless cable and crimp hardware used to prototype a steam-bending/shaping rig; prototype fixture material largely consumed or altered during trials. BKMAMLAB, 1/16 Wire Rope, Aircraft Cable,304 Stainless Steel Cable,7x7 Strand Core 196FT,368lbs Breaking Strength"
21,$7.41 ,Hose Clamp Adjustable,"Low-cost clamps incorporated into prototype bending fixtures to secure bands and transfer load; treated as expendable supplies during iteration. NEBURORA 5 Inch,  304 Stainless Steel Duct Clamp 4 Pack Worm Gear Clamps 4.6""-5.4"" Diameter Fuel Line Hose Pipe Clamp for Dryer Vent Air Duct Automotive Plumb"
22,$63.08 ,"Wood Sheets Thin Lumber,  Walnut ",Direct material stock laser-cut into serialized ribs for subsequent conditioning and shaping; fully consumed into product and tracked in COGS. Black Dark Unfinished Board for Crafts - Pack of 5 by Craftiff
23,$23.28 ,Wall/Ceiling Mount Single Pulleys,"Redirect hardware for prototype bending rig to change cable force direction; inexpensive parts expensed into prototype fixtures. National Hardware N233-247 3219BC, Zinc, 1-1/2 in."
24,$21.60 ,Flapwheel Sander,"Abrasive used to remove streaks/roughness before finishing; wear item consumed during surface prep to improve coating quality. Dremel 502 3/8"", 80 Grit "
25,$14.83 ,Dish Drying Mat,"Absorbent mat to capture pooled water around steamer during conditioning; protective pad replaced as it wears.  XL, 18"" x 24"", Absorbent Microfiber Kitchen Counter Mat, Dish Drying Pad for Dishes, Utensils, Pots and Pans, Extra Large, Black, S&T INC. "
26,$21.73 ,Cordless Mini Drill Pen ,"Small hand drill for making holes in printed jigs/fixtures and light wood tasks; durable hand tool with multi-year utility. 3-Speed , 8 Small Drill Bits,Rechargeable Electric Hand Drill Pin Vise,Resin Drill Set For Jewelry Making,Resin,Plastic,Wood,Keychains DIY (BLUE)"
27,$12.71 ,Mini Drill Press Vise Clamp ,"General-purpose workholding for bench operations; reusable fixture that stabilizes parts and improves safety and repeatability. Yakamoz Universal , Table Bench Vice for Jewelry Walnut Nuclear Watch Repairing Clip On DIY Sculpture Craft Carving Bed Tool"
28,$39.20 ,Vacuum Hose,"Replacement dust-extraction hose mounted to enclosure for internal cleanup without opening the cabinet; maintenance/consumable part. Tolxh #NA116542 , N916405, DCV501 DCV501HB DCV501LN , Quality Durable New Replacement Parts For DEWALT"
29,$34.97 ,Glass Meal Prep Containers,"Heat-safe vessels to maintain controlled water baths (~195–200 °F) for rib conditioning; reusable process hardware. VERONES 10 Pack, Airtight Glass Lunch Containers, Stackable Glass Food Storage Containers Set with Lids, Exclusive of BPA for Microwave, Oven,  Freezer & Dishwasher, Grey "
30,$22.25 ,Energy Monitoring Smart Plug,"Monitors machine energy use and schedules loads; durable monitoring device used continuously. Emporia WiFi Smart Outlet Plug Works with Alexa and Google Home - 15a WiFi Outlet with Timer, Mobile App, Home Energy Monitor, Scheduling - 2.4ghz WiFi Only (2 Pack)"
31,$14.83 ,Extension Cord ,"Power distribution with surge/noise protection to stabilize voltage and prevent brownout-related interruptions. 10 ft - Long Power Strip Surge Protector, 6 AC Outlet 4 USB (2 USB C), Flat Plug, Wall Mount, Multi Plug Outlet Extender Desk Charging Station for Home Office Dorm Room Essentials"
32,$20.12 ,Outdoor Christmas Lights,"Low-cost decorative lights for tree used in design/fit validation photos and displays; expendable test decor. TW SHINE Warm White, 20FT 100 Count Incandescent Christmas Light Indoor, Waterproof Christmas Tree String Lights for Xmas Decorations "
33,$53.52 ,Christmas Tree,"Reusable validation fixture to hang/arrange ornaments during functional/operational checks and presentation testing. National Tree Company Artificial, Full, Green, North Valley Spruce, Includes Stand, 7.5 Feet"
34,$22.25 ,Energy Monitoring Smart Plug,"Monitors machine energy use and schedules loads; durable monitoring device used continuously. Emporia WiFi Smart Outlet Plug Works with Alexa and Google Home - 15a WiFi Outlet with Timer, Mobile App, Home Energy Monitor, Scheduling - 2.4ghz WiFi Only (2 Pack)"
35,$14.83 ,Extension Cord ,"Power distribution with surge/noise protection to stabilize voltage and prevent brownout-related interruptions. 10 ft - Long Power Strip Surge Protector, 6 AC Outlet 4 USB (2 USB C), Flat Plug, Wall Mount, Multi Plug Outlet Extender Desk Charging Station for Home Office Dorm Room Essentials"
36,$14.51 ,T Slot End Mill Milling Cutter ,"Undercut cutter for CNC wood operations not supplied with the machine; consumable tooling subject to wear. HARFINGTON, 4mm Cutting 1.5mm Depth 4mm Shank Solid Carbide Titanium Coated 4 Flutes for Stainless Steel Alloy"
37,$14.83 ,Foam Tape ,"Adhesive tape used to cover and seal enclosure edges for cleaner appearance and minor light leaks; consumed in use. COUMENO 2 Pack, 1.77inX16.4FT Sealing Strip Foam Pad Sponge Tape Window Weatherproof, Self-Adhesive Insulation Sealing Black"
38,$29.66 ,Extension Cord ,"Power distribution with surge/noise protection to stabilize voltage and prevent brownout-related interruptions. 10 ft - Long Power Strip Surge Protector, 6 AC Outlet 4 USB (2 USB C), Flat Plug, Wall Mount, Multi Plug Outlet Extender Desk Charging Station for Home Office Dorm Room Essentials"
39,$36.02 ,Mini Combo Miter Saw Set,"Compact saw for precise, repeatable cuts on keystones/turning stock used in CNC and assembly; long-life cutting machine."
40,$8.77 ,Hook and Loop Strips,"Adhesive hook-and-loop used to seal enclosure doors and block dust escape; expendable fastening material replaced as needed to maintain safe, clean operations. Navona 30Ft x 1 Inch,  Adhesive - Double Rolls of Heavy-Duty Self-Adhesive Tape with Backing, Hook and Loop Tape for Home, Office, School, and Crafting, Black"
41,$12.69 ,Lock Mandrel,"Small rotary-tool mandrel that holds finishing bits for precise touch-up on ribs/keystones; wear accessory treated as consumable tooling for surface prep before coating. Dremel EZ402 EZ, 1/8 inch (3.2mm) Shank Rotary Tool Accessory Mandrel "
42,$38.15 ,Vacuum Hose,"Replacement dust-extraction hose mounted to enclosure for internal cleanup without opening the cabinet; maintenance/consumable part. Tolxh #NA116542 , N916405, DCV501 DCV501HB DCV501LN , Quality Durable New Replacement Parts For DEWALT"
43,$31.78 ,Extension Cord ,"Power distribution with surge/noise protection to stabilize voltage and prevent brownout-related interruptions. 10 ft - Long Power Strip Surge Protector, 6 AC Outlet 4 USB (2 USB C), Flat Plug, Wall Mount, Multi Plug Outlet Extender Desk Charging Station for Home Office Dorm Room Essentials"
44,$33.90 ,"Wood Sheets Thin Lumber,  Walnut ","Direct material stock laser-cut into serialized ribs; fully consumed into product and included in COGS. Pack of 4 Walnut Wood 6 x 15 Inch Walnut Boards 0.16""(4mm) Thick Unfinished Board for Crafts, Laser Engraving  "
45,$16.95 ,"Wood Sheets Thin Lumber,  Walnut ","Direct material stock laser-cut into serialized ribs; fully consumed into product and included in COGS. Pack of 4 Walnut Wood 6 x 15 Inch Walnut Boards 0.16""(4mm) Thick Unfinished Board for Crafts, Laser Engraving  "
46,$15.52 ,Vacuum Hose ,"Maintenance replacement hose for enclosure dust extraction; not a new asset. Replacement, DeWalt N445803, Assembly - For DCV517B / DCV517M1"
47,$21.18 ,Led Strip Lights ,"Additional installed task lighting for complete work-area illumination; reusable fixture. GXILEE, 5v COB , USB Powered 6000k Cool White CRI93+ 6ft Led Tape Light with Dimmer. 10W/2meter Flexible & Dimmable COB Strips for Sewing Machine Bedroom Cabinet DIY Lighting Décor"
48,$34.97 ,One-Handed Mini Bar Clamp,"Durable clamps to secure 3D-printed molds to ribs during shaping, reducing shift/misalignment and spring-back risk. IRWIN QUICK-GRIP 1964758. 4 Pack, 6"""
49,$212.99 ,"PROXXON Disk Sander TG 125/E, 37060 , Green",Bench sander used to remove/true surfaces on woodforms as part of shaping and pre-finish prep; capital tool with multi-year use.
50,$166.37 ,Dynamat Xtreme Sound Deadening Car Insulation,"Adhesive acoustic lining installed in enclosure to reduce saw/vac noise and meet apartment quiet-hour constraints; expendable shop supply consumed at install. Easy Self Adhesive Install - Made in USA - 8 Sheets 18""x18"", 18 sq ft Total. Squared 18 Pack"
51,$10.59 ,Led Strip Lights ,"Additional installed task lighting for complete work-area illumination; reusable fixture. GXILEE, 5v COB , USB Powered 6000k Cool White CRI93+ 6ft Led Tape Light with Dimmer. 10W/2meter Flexible & Dimmable COB Strips for Sewing Machine Bedroom Cabinet DIY Lighting Décor"
52,$56.18 ,Heavy Duty Anti Vibration Pad Sound Absorbing Mat ,"Reusable pads that damp laser/CNC vibration on dowels and planks to improve dimensional accuracy during engraving/cutting. 19.7 x 19.7 Inc , Goodhoily 2 Pack, Rubber Vibration Pad for Washer, Dryer, Audio Equipment, Strength Training Equipment Mat"
53,$158.98 ,Apple AirTag 4 Pack,Durable trackers placed in mobile racks/cabinets for security and asset tracking; reused across operations.
54,$44.50 ,Energy Monitoring Smart Plug,"Monitors machine energy use and schedules loads; durable monitoring device used continuously. Emporia WiFi Smart Outlet Plug Works with Alexa and Google Home - 15a WiFi Outlet with Timer, Mobile App, Home Energy Monitor, Scheduling - 2.4ghz WiFi Only (2 Pack)"
55,$153.34 ,Shop Vacuum Wet and Dry,"High-suction, low-noise dust collector paired with cyclone to keep particulates contained while meeting noise limits; long-life equipment. DEWALT 5 Gallon STEALTHSONIC, Powerful Suction & Portable Shop Vac with Attachments, Ultra Quiet Wet Dry Vacuum for Home, Garage, Car, Workshop, Jobsite, DXV05S-QT, 4 Peak HP"
56,$0.00 ,Lockscreen ad removal,One-time service fee that improves controller tablet usability; no standalone asset created. : applied automatically when device is activated.
57,$42.39 ,Amazon Fire HD 10 Tablet Protective Cover,"Long-life protective case that extends service life of the CNC controller tablet.  (Only compatible with 13th generation tablet, 2023 release) - Black"
58,$90.09 ,"Amazon Fire HD 10.1"" tablet ","Tablet used as CNC controller/interface; computing device with multi-period benefit supporting precision cut operations. Built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black"
59,$14.83 ,"Clear-Tite Contact Cement, 4 oz. can ",Fast-curing adhesive for critical bond surfaces on ribs/fixtures; consumable used during assembly to reduce takt and improve integrity. Manufactured by RH Adhesives
60,$37.84 ,"Custom Cut Plexiglass Sheet Cut to Size-Clear Acrylic Sheet 1/8"" (3mm) Thick","Clear viewing panel installed on enclosure for dust containment with visual access; permanent infrastructure improvement.  Flat Edges and Protective Film, for DIY Craft Projects,& Table Top Signs by Fab Glass, and Mirror"
61,$333.89 ,Workbench,"Heavy-duty bench supporting three woodworking enclosures; durable workstation that increases safety and throughput.  2000 Lb Capacity, Seville Classics UltraHD 72"" W X 25"" D, Wood Top Height Adjustable "
62,$9.20 ,Supmedic Medical Nitrile Exam Gloves,"Disposable PPE for chemical/adhesive handling during processing and assembly; consumed in normal use. , Latex-Free, Powder-Free, Food Safe, Cooking Food Prep, Disposable Gloves, Blue, 100 Pcs (Large)"
63,$69.95 ,Creality Space Pi Filament Dryer,"Reusable dryer/storage that keeps 3D-printing filament dry for consistent, accurate prints that feed jig/fixture production. , Filament Storage Box, Upgraded Double 360° Heating Drying with Fan&Touch Screen, 3D Printer Filament Spool Holder, Dehydrator 1.75/2.85/3mm PLA PETG ABS TPU Nylon"
64,"$3,125.94 ",Carvera Air Desktop CNC Machine with 4th Axis,"Compact CNC used to drill precision holes and perform dimensional cuts, delivering sustained productivity gains. Compact Enclosed Mini CNC Router, Quick Tool Changer, Closed-Loop Control, Beginner-Friendly CAM Software for Milling, Cutting, Engraving, DIY, Crafts"
65,$4.23 ,Adhesive with Precision Tips,"Precision adhesive used to mount power strips to enclosure walls; expendable mounting supply consumed during installation to free floor space and maintain orderly, dust-safe interiors. 1.0 fl oz capacity. E6000 231020 "
66,$6.13 ,Brass Mini Brushes,"Small maintenance brushes to clean heated insert tips used for 3D-printed jig assembly; low-cost upkeep supply that restores tool effectiveness. Amazon Basics.  for Cleaning, Soft Grip, 1/2 in, Yellow/Grey, 3-Pack"
67,$22.95 ,Decibel Meter,Reusable instrument for verifying machine sound levels against apartment constraints; supports safe operations and scheduling. Tadeto Digital Sound Level Meter Portable SPL Meter 30dB to 130dB MAX Data Hold with LCD Display Backlight A/C Weighted for Home Factories
68,$37.84 ,"Custom Cut Plexiglass Sheet Cut to Size-Clear Acrylic Sheet 1/8"" (3mm) Thick","Clear viewing panel installed on enclosure for dust containment with visual access; permanent infrastructure improvement.  Flat Edges and Protective Film, for DIY Craft Projects,& Table Top Signs by Fab Glass, and Mirror"
69,$101.01 ,3D Printer Multifunctional Enclosure Paint Spray Booth ,Reusable enclosures with filtration and glove ports to contain dust during cutting/sanding; modified for soundproofing and visibility. with Exhaust Fan Filter System Ventilation with Adjustable Speed Control Power Adapter for Resin 3D Printer Painting Polishing Model
70,$7.41 ,USB Fan,"Dedicated airflow assist inside laser enclosure to guide particulates toward exhaust; durable accessory tied to enclosure.  Mini but Powerful, Portable with 3 Speeds, Quiet Table Personal Fan, 360 Rotate Coolness, Small for Home, Office, Bedroom, Desktop, Travel, USB Powered, Black, Desk "
71,$21.19 ,Powered USB Hub,"Stable power/data distribution for laser controller board; reusable electronic accessory preventing resets and comms faults. , RSHTECH 4 Port USB 3.0 Hub Splitter Portable Aluminum USB Data Hub Expander with Individual On/Off Switch and Universal 5V AC Adapter, 3.3ft USB 3.0 Cable (RSH-516)"
72,$7.37 ,"Plastic Squeeze Bottles 1.5"" Stainless Applicators",Fine-tip glue applicators for bonding alignment pins in ribs/keystones; disposable assembly consumables that improve precision. Liberty Products 2-1oz applicators.
73,$22.25 ,Energy Monitoring Smart Plug,"Monitors machine energy use and schedules loads; durable monitoring device used continuously. Emporia WiFi Smart Outlet Plug Works with Alexa and Google Home - 15a WiFi Outlet with Timer, Mobile App, Home Energy Monitor, Scheduling - 2.4ghz WiFi Only (2 Pack)"
74,$11.01 ,Professional Acrylic Plexiglass Sheet Cutter Scoring Knife Tool,"Hand tool to cut/trim plexiglass panels to enclosure window specs; durable tool with replaceable blades. With a Curved Handle,It Is More Convenient To Use.One handle,11 blades.(Yellow)"
75,$31.79 ,Clip Holder Chalkboard Sign,"Low-cost clips adapted as rib hangers for drying after shellac dips; treated as shop supplies consumed over time. Rotating Clips Plastic Sign Erasable Blackboard Double Head Holder for Supermarket Store Merchandise Shelf(Black). DoubleFill 30 Set,  Price Tag Display "
76,$89.00 ,Energy Monitoring Smart Plug,"Monitors machine energy use and schedules loads; durable monitoring device used continuously. Emporia WiFi Smart Outlet Plug Works with Alexa and Google Home - 15a WiFi Outlet with Timer, Mobile App, Home Energy Monitor, Scheduling - 2.4ghz WiFi Only (2 Pack)"
